"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API测试","0","用户管理","2","0","用户登录","0"
"0","API测试","0","系统管理","2","0","用户管理","0"
